mass,r_br_yy_bb,exp_limit,obs_limit
600,0.0090,0.017342,0.011240
600,0.0100,0.016743,0.010928
600,0.0200,0.012035,0.008394
600,0.0300,0.009119,0.006696
600,0.0400,0.007261,0.005552
600,0.0500,0.005988,0.004716
700,0.0000,0.014509,0.017229
700,0.0001,0.014509,0.017173
700,0.0002,0.014508,0.017117
700,0.0003,0.014506,0.017061
700,0.0004,0.014503,0.017005
700,0.0005,0.014500,0.016950
700,0.0006,0.014495,0.016893
700,0.0007,0.014489,0.016836
700,0.0008,0.014483,0.016795
700,0.0009,0.014476,0.016750
700,0.0010,0.014468,0.016695
700,0.0011,0.014459,0.016639
700,0.0012,0.014450,0.016584
700,0.0013,0.014439,0.016543
700,0.0014,0.014428,0.016488
700,0.0015,0.014417,0.016432
700,0.0016,0.014405,0.016376
700,0.0017,0.014392,0.016320
700,0.0018,0.014378,0.016265
700,0.0019,0.014364,0.016209
700,0.0020,0.014349,0.016154
700,0.0021,0.014334,0.016098
700,0.0022,0.014318,0.016045
700,0.0023,0.014301,0.015990
700,0.0024,0.014284,0.015935
700,0.0025,0.014267,0.015880
700,0.0026,0.014249,0.015822
700,0.0027,0.014230,0.015767
700,0.0028,0.014211,0.015713
700,0.0029,0.014192,0.015658
700,0.0030,0.014172,0.015603
700,0.0031,0.014152,0.015549
700,0.0032,0.014131,0.015494
700,0.0033,0.014110,0.015440
700,0.0034,0.014089,0.015385
700,0.0035,0.014067,0.015331
700,0.0036,0.014045,0.015278
700,0.0037,0.014023,0.015210
700,0.0038,0.014000,0.015135
700,0.0039,0.013977,0.015080
700,0.0040,0.013953,0.015011
700,0.0041,0.013930,0.014956
700,0.0042,0.013906,0.014901
700,0.0043,0.013882,0.014845
700,0.0044,0.013857,0.014790
700,0.0045,0.013832,0.014735
700,0.0046,0.013807,0.014680
700,0.0047,0.013782,0.014626
700,0.0048,0.013757,0.014571
700,0.0049,0.013731,0.014517
700,0.0050,0.013706,0.014462
700,0.0051,0.013680,0.014408
700,0.0052,0.013653,0.014354
700,0.0053,0.013627,0.014300
700,0.0054,0.013600,0.014246
700,0.0055,0.013574,0.014192
700,0.0056,0.013547,0.014138
700,0.0057,0.013520,0.014085
700,0.0058,0.013493,0.014031
700,0.0059,0.013465,0.013978
700,0.0060,0.013438,0.013924
700,0.0070,0.013158,0.013460
700,0.0080,0.012871,0.012960
700,0.0090,0.012581,0.012451
700,0.0100,0.012291,0.011982
700,0.0200,0.009666,0.008447
700,0.0300,0.007743,0.006309
700,0.0400,0.006362,0.004922
700,0.0500,0.005363,0.004007
800,0.0000,0.010697,0.014804
800,0.0001,0.010697,0.014787
800,0.0002,0.010697,0.014770
800,0.0003,0.010696,0.014752
800,0.0004,0.010695,0.014735
800,0.0005,0.010693,0.014718
800,0.0006,0.010690,0.014701
800,0.0007,0.010687,0.014683
800,0.0008,0.010683,0.014666
800,0.0009,0.010679,0.014649
800,0.0010,0.010675,0.014633
800,0.0011,0.010669,0.014616
800,0.0012,0.010664,0.014599
800,0.0013,0.010658,0.014582
800,0.0014,0.010652,0.014589
800,0.0015,0.010645,0.014573
800,0.0016,0.010637,0.014557
800,0.0017,0.010630,0.014541
800,0.0018,0.010622,0.014526
800,0.0019,0.010614,0.014510
800,0.0020,0.010605,0.014489
800,0.0021,0.010596,0.014473
800,0.0022,0.010587,0.014458
800,0.0023,0.010577,0.014444
800,0.0024,0.010567,0.014430
800,0.0025,0.010557,0.014416
800,0.0026,0.010546,0.014402
800,0.0027,0.010535,0.014388
800,0.0028,0.010524,0.014374
800,0.0029,0.010513,0.014360
800,0.0030,0.010501,0.014347
800,0.0031,0.010489,0.014333
800,0.0032,0.010477,0.014320
800,0.0033,0.010464,0.014306
800,0.0034,0.010452,0.014293
800,0.0035,0.010439,0.014280
800,0.0036,0.010426,0.014267
800,0.0037,0.010412,0.014254
800,0.0038,0.010399,0.014241
800,0.0039,0.010385,0.014221
800,0.0040,0.010371,0.014208
800,0.0041,0.010357,0.014195
800,0.0042,0.010343,0.014182
800,0.0043,0.010328,0.014170
800,0.0044,0.010314,0.014157
800,0.0045,0.010299,0.014144
800,0.0046,0.010284,0.014131
800,0.0047,0.010269,0.014118
800,0.0048,0.010254,0.014105
800,0.0049,0.010239,0.014092
800,0.0050,0.010223,0.014079
800,0.0051,0.010207,0.014066
800,0.0052,0.010192,0.014052
800,0.0053,0.010176,0.014039
800,0.0054,0.010160,0.014026
800,0.0055,0.010144,0.014013
800,0.0056,0.010128,0.013998
800,0.0057,0.010111,0.013985
800,0.0058,0.010095,0.013971
800,0.0059,0.010078,0.013959
800,0.0060,0.010062,0.013945
800,0.0070,0.009891,0.013801
800,0.0080,0.009715,0.013644
800,0.0090,0.009535,0.013476
800,0.0100,0.009354,0.013297
800,0.0200,0.007635,0.011275
800,0.0300,0.006280,0.009385
800,0.0400,0.005254,0.007784
800,0.0500,0.004484,0.006496
900,0.0000,0.008328,0.015337
900,0.0001,0.008328,0.015432
900,0.0002,0.008327,0.015522
900,0.0003,0.008326,0.015608
900,0.0004,0.008324,0.015689
900,0.0005,0.008321,0.015764
900,0.0006,0.008318,0.015838
900,0.0007,0.008315,0.015903
900,0.0008,0.008310,0.015963
900,0.0009,0.008306,0.016018
900,0.0010,0.008300,0.016068
900,0.0011,0.008295,0.016114
900,0.0012,0.008288,0.016156
900,0.0013,0.008282,0.016193
900,0.0014,0.008275,0.016227
900,0.0015,0.008267,0.016256
900,0.0016,0.008260,0.016282
900,0.0017,0.008251,0.016303
900,0.0018,0.008243,0.016322
900,0.0019,0.008234,0.016339
900,0.0020,0.008225,0.016353
900,0.0021,0.008215,0.016352
900,0.0022,0.008205,0.016361
900,0.0023,0.008195,0.016368
900,0.0024,0.008185,0.016373
900,0.0025,0.008174,0.016376
900,0.0026,0.008163,0.016377
900,0.0027,0.008152,0.016377
900,0.0028,0.008140,0.016375
900,0.0029,0.008129,0.016372
900,0.0030,0.008117,0.016367
900,0.0031,0.008105,0.016361
900,0.0032,0.008092,0.016354
900,0.0033,0.008080,0.016358
900,0.0034,0.008067,0.016349
900,0.0035,0.008054,0.016339
900,0.0036,0.008041,0.016327
900,0.0037,0.008028,0.016315
900,0.0038,0.008015,0.016302
900,0.0039,0.008001,0.016288
900,0.0040,0.007988,0.016274
900,0.0041,0.007974,0.016259
900,0.0042,0.007960,0.016243
900,0.0043,0.007946,0.016227
900,0.0044,0.007932,0.016210
900,0.0045,0.007918,0.016193
900,0.0046,0.007904,0.016175
900,0.0047,0.007889,0.016157
900,0.0048,0.007875,0.016138
900,0.0049,0.007860,0.016119
900,0.0050,0.007845,0.016099
900,0.0051,0.007831,0.016080
900,0.0052,0.007816,0.016060
900,0.0053,0.007801,0.016039
900,0.0054,0.007786,0.016018
